latitude,longitude,date,hour,geometry,Cluster_label
41.098,-106.203,2020-09-26,845,POINT (-106.203 41.098),0
41.104,-106.381,2020-09-26,845,POINT (-106.381 41.104),0
41.103,-106.364,2020-09-26,845,POINT (-106.364 41.103),0
41.101000000000006,-106.346,2020-09-26,845,POINT (-106.346 41.10100000000001),0
41.098,-106.31,2020-09-26,845,POINT (-106.31 41.098),0
41.096,-106.292,2020-09-26,845,POINT (-106.292 41.096),0
41.094,-106.275,2020-09-26,845,POINT (-106.275 41.094),0
41.103,-106.296,2020-09-26,845,POINT (-106.296 41.103),0
41.101000000000006,-106.279,2020-09-26,845,POINT (-106.279 41.10100000000001),0
41.099,-106.263,2020-09-26,845,POINT (-106.263 41.099),0
41.097,-106.245,2020-09-26,845,POINT (-106.245 41.097),0
41.096,-106.227,2020-09-26,845,POINT (-106.227 41.096),0
41.101000000000006,-106.387,2020-09-26,845,POINT (-106.387 41.10100000000001),0
41.099,-106.369,2020-09-26,845,POINT (-106.369 41.099),0
41.097,-106.353,2020-09-26,845,POINT (-106.353 41.097),0
41.096,-106.335,2020-09-26,845,POINT (-106.335 41.096),0
41.094,-106.317,2020-09-26,845,POINT (-106.317 41.094),0
41.092,-106.299,2020-09-26,845,POINT (-106.299 41.092),0
41.085,-106.336,2020-09-26,845,POINT (-106.336 41.085),0
40.707,-105.724,2020-09-26,845,POINT (-105.724 40.707),0
40.34,-123.291,2020-09-26,1025,POINT (-123.291 40.34),2
40.057,-122.901,2020-09-26,1025,POINT (-122.901 40.057),2
40.055,-122.887,2020-09-26,1025,POINT (-122.887 40.055),2
40.053,-122.907,2020-09-26,1025,POINT (-122.907 40.053),2
40.051,-122.895,2020-09-26,1025,POINT (-122.895 40.051),2
40.049,-122.881,2020-09-26,1025,POINT (-122.881 40.049),2
33.93,-111.781,2020-09-26,1815,POINT (-111.781 33.93),5
33.924,-111.805,2020-09-26,1815,POINT (-111.805 33.924),5
33.923,-111.793,2020-09-26,1815,POINT (-111.793 33.923),5
33.921,-111.783,2020-09-26,1815,POINT (-111.783 33.921),5
33.916,-111.812,2020-09-26,1815,POINT (-111.812 33.916),5
33.915,-111.801,2020-09-26,1815,POINT (-111.801 33.915),5
33.907,-111.814,2020-09-26,1815,POINT (-111.814 33.907),5
32.452,-114.847,2020-09-26,1815,POINT (-114.847 32.452),113
41.173,-106.14,2020-09-26,1810,POINT (-106.14 41.173),0
41.17100000000001,-106.128,2020-09-26,1810,POINT (-106.128 41.17100000000001),0
41.169,-106.115,2020-09-26,1810,POINT (-106.115 41.169),0
41.162,-106.077,2020-09-26,1810,POINT (-106.077 41.162),0
41.17,-106.181,2020-09-26,1810,POINT (-106.181 41.17),0
41.168,-106.169,2020-09-26,1810,POINT (-106.169 41.168),0
41.166,-106.156,2020-09-26,1810,POINT (-106.156 41.166),0
41.164,-106.143,2020-09-26,1810,POINT (-106.143 41.164),0
41.162,-106.131,2020-09-26,1810,POINT (-106.131 41.162),0
41.157,-106.159,2020-09-26,1810,POINT (-106.159 41.157),0
41.14,-106.056,2020-09-26,1810,POINT (-106.056 41.14),0
41.144,-106.136,2020-09-26,1810,POINT (-106.136 41.144),0
41.14100000000001,-106.124,2020-09-26,1810,POINT (-106.124 41.14100000000001),0
41.139,-106.111,2020-09-26,1810,POINT (-106.111 41.139),0
41.137,-106.098,2020-09-26,1810,POINT (-106.098 41.137),0
41.135,-106.085,2020-09-26,1810,POINT (-106.085 41.135),0
41.133,-106.072,2020-09-26,1810,POINT (-106.072 41.133),0
41.131,-106.059,2020-09-26,1810,POINT (-106.059 41.131),0
41.139,-106.164,2020-09-26,1810,POINT (-106.164 41.139),0
41.136,-106.151,2020-09-26,1810,POINT (-106.151 41.136),0
41.132,-106.126,2020-09-26,1810,POINT (-106.126 41.132),0
41.13,-106.113,2020-09-26,1810,POINT (-106.113 41.13),0
41.128,-106.1,2020-09-26,1810,POINT (-106.1 41.128),0
41.12600000000001,-106.088,2020-09-26,1810,POINT (-106.088 41.12600000000001),0
41.124,-106.075,2020-09-26,1810,POINT (-106.075 41.124),0
41.121,-106.116,2020-09-26,1810,POINT (-106.116 41.121),0
41.119,-106.103,2020-09-26,1810,POINT (-106.103 41.119),0
41.117,-106.09,2020-09-26,1810,POINT (-106.09 41.117),0
41.114,-106.077,2020-09-26,1810,POINT (-106.077 41.114),0
41.112,-106.065,2020-09-26,1810,POINT (-106.065 41.112),0
41.12,-106.169,2020-09-26,1810,POINT (-106.169 41.12),0
41.118,-106.156,2020-09-26,1810,POINT (-106.156 41.118),0
41.11600000000001,-106.144,2020-09-26,1810,POINT (-106.144 41.11600000000001),0
41.114,-106.131,2020-09-26,1810,POINT (-106.131 41.114),0
41.112,-106.118,2020-09-26,1810,POINT (-106.118 41.112),0
41.11,-106.106,2020-09-26,1810,POINT (-106.106 41.11),0
41.107,-106.093,2020-09-26,1810,POINT (-106.093 41.107),0
41.109,-106.159,2020-09-26,1810,POINT (-106.159 41.109),0
41.107,-106.146,2020-09-26,1810,POINT (-106.146 41.107),0
41.105,-106.134,2020-09-26,1810,POINT (-106.134 41.105),0
41.103,-106.121,2020-09-26,1810,POINT (-106.121 41.103),0
41.1,-106.108,2020-09-26,1810,POINT (-106.108 41.1),0
41.108,-106.192,2020-09-26,1810,POINT (-106.192 41.108),0
41.106,-106.18,2020-09-26,1810,POINT (-106.18 41.106),0
41.104,-106.167,2020-09-26,1810,POINT (-106.167 41.104),0
41.101000000000006,-106.154,2020-09-26,1810,POINT (-106.154 41.10100000000001),0
41.099,-106.142,2020-09-26,1810,POINT (-106.142 41.099),0
41.097,-106.129,2020-09-26,1810,POINT (-106.129 41.097),0
41.105,-106.232,2020-09-26,1810,POINT (-106.232 41.105),0
41.103,-106.22,2020-09-26,1810,POINT (-106.22 41.103),0
41.101000000000006,-106.207,2020-09-26,1810,POINT (-106.207 41.10100000000001),0
41.099,-106.195,2020-09-26,1810,POINT (-106.195 41.099),0
41.097,-106.182,2020-09-26,1810,POINT (-106.182 41.097),0
41.1,-106.26,2020-09-26,1810,POINT (-106.26 41.1),0
41.098,-106.247,2020-09-26,1810,POINT (-106.247 41.098),0
41.096,-106.235,2020-09-26,1810,POINT (-106.235 41.096),0
41.094,-106.223,2020-09-26,1810,POINT (-106.223 41.094),0
41.092,-106.21,2020-09-26,1810,POINT (-106.21 41.092),0
41.09,-106.198,2020-09-26,1810,POINT (-106.198 41.09),0
41.093,-106.275,2020-09-26,1810,POINT (-106.275 41.093),0
41.091,-106.263,2020-09-26,1810,POINT (-106.263 41.091),0
41.089,-106.25,2020-09-26,1810,POINT (-106.25 41.089),0
41.087,-106.238,2020-09-26,1810,POINT (-106.238 41.087),0
41.085,-106.225,2020-09-26,1810,POINT (-106.225 41.085),0
41.083,-106.213,2020-09-26,1810,POINT (-106.213 41.083),0
41.08,-106.253,2020-09-26,1810,POINT (-106.253 41.08),0
40.772,-105.657,2020-09-26,1810,POINT (-105.657 40.772),0
40.76300000000001,-105.66,2020-09-26,1810,POINT (-105.66 40.76300000000001),0
40.761,-105.647,2020-09-26,1810,POINT (-105.647 40.761),0
40.756,-105.62,2020-09-26,1810,POINT (-105.62 40.756),0
40.751,-105.65,2020-09-26,1810,POINT (-105.65 40.751),0
40.749,-105.636,2020-09-26,1810,POINT (-105.636 40.749),0
40.747,-105.623,2020-09-26,1810,POINT (-105.623 40.747),0
40.745,-105.666,2020-09-26,1810,POINT (-105.666 40.745),0
40.742,-105.652,2020-09-26,1810,POINT (-105.652 40.742),0
40.733,-105.599,2020-09-26,1810,POINT (-105.599 40.733),0
40.73,-105.585,2020-09-26,1810,POINT (-105.585 40.73),0
40.728,-105.572,2020-09-26,1810,POINT (-105.572 40.728),0
40.726,-105.559,2020-09-26,1810,POINT (-105.559 40.726),0
40.729,-105.606,2020-09-26,1810,POINT (-105.606 40.729),0
40.727,-105.592,2020-09-26,1810,POINT (-105.592 40.727),0
40.725,-105.579,2020-09-26,1810,POINT (-105.579 40.725),0
40.722,-105.566,2020-09-26,1810,POINT (-105.566 40.722),0
40.745,-105.755,2020-09-26,1810,POINT (-105.755 40.745),0
40.729,-105.662,2020-09-26,1810,POINT (-105.662 40.729),0
40.727,-105.648,2020-09-26,1810,POINT (-105.648 40.727),0
40.724,-105.635,2020-09-26,1810,POINT (-105.635 40.724),0
40.718,-105.594,2020-09-26,1810,POINT (-105.594 40.718),0
40.715,-105.581,2020-09-26,1810,POINT (-105.581 40.715),0
40.736,-105.757,2020-09-26,1810,POINT (-105.757 40.736),0
40.722,-105.678,2020-09-26,1810,POINT (-105.678 40.722),0
40.72,-105.665,2020-09-26,1810,POINT (-105.665 40.72),0
40.717,-105.651,2020-09-26,1810,POINT (-105.651 40.717),0
40.711,-105.611,2020-09-26,1810,POINT (-105.611 40.711),0
40.708,-105.597,2020-09-26,1810,POINT (-105.597 40.708),0
40.706,-105.583,2020-09-26,1810,POINT (-105.583 40.706),0
40.713,-105.68,2020-09-26,1810,POINT (-105.68 40.713),0
40.699,-105.599,2020-09-26,1810,POINT (-105.599 40.699),0
40.703,-105.738,2020-09-26,1810,POINT (-105.738 40.703),0
40.694,-105.741,2020-09-26,1810,POINT (-105.741 40.694),0
40.593,-105.697,2020-09-26,1810,POINT (-105.697 40.593),0
40.521,-105.765,2020-09-26,1810,POINT (-105.765 40.521),0
28.63,-100.568,2020-09-26,1950,POINT (-100.568 28.63),173
33.922,-111.812,2020-09-26,1950,POINT (-111.812 33.922),5
40.516,-105.762,2020-09-26,1950,POINT (-105.762 40.516),0
40.526,-105.765,2020-09-26,1950,POINT (-105.765 40.526),0
40.593,-105.682,2020-09-26,1950,POINT (-105.682 40.593),0
40.59,-105.696,2020-09-26,1950,POINT (-105.696 40.59),0
40.588,-105.709,2020-09-26,1950,POINT (-105.709 40.588),0
40.611,-105.64,2020-09-26,1950,POINT (-105.64 40.611),0
40.6,-105.698,2020-09-26,1950,POINT (-105.698 40.6),0
40.621,-105.643,2020-09-26,1950,POINT (-105.643 40.621),0
40.602,-105.746,2020-09-26,1950,POINT (-105.746 40.602),0
40.599,-105.761,2020-09-26,1950,POINT (-105.761 40.599),0
40.704,-105.589,2020-09-26,1950,POINT (-105.589 40.704),0
40.701,-105.603,2020-09-26,1950,POINT (-105.603 40.701),0
40.719,-105.562,2020-09-26,1950,POINT (-105.562 40.719),0
40.716,-105.577,2020-09-26,1950,POINT (-105.577 40.716),0
40.726,-105.579,2020-09-26,1950,POINT (-105.579 40.726),0
40.721,-105.609,2020-09-26,1950,POINT (-105.609 40.721),0
40.718,-105.623,2020-09-26,1950,POINT (-105.623 40.718),0
40.736,-105.583,2020-09-26,1950,POINT (-105.583 40.736),0
40.726,-105.64,2020-09-26,1950,POINT (-105.64 40.726),0
40.723,-105.654,2020-09-26,1950,POINT (-105.654 40.723),0
40.75,-105.617,2020-09-26,1950,POINT (-105.617 40.75),0
40.74800000000001,-105.631,2020-09-26,1950,POINT (-105.631 40.74800000000001),0
40.745,-105.646,2020-09-26,1950,POINT (-105.646 40.745),0
40.743,-105.66,2020-09-26,1950,POINT (-105.66 40.743),0
40.76,-105.62,2020-09-26,1950,POINT (-105.62 40.76),0
40.758,-105.635,2020-09-26,1950,POINT (-105.635 40.758),0
40.755,-105.649,2020-09-26,1950,POINT (-105.649 40.755),0
40.753,-105.662,2020-09-26,1950,POINT (-105.662 40.753),0
40.737,-105.751,2020-09-26,1950,POINT (-105.751 40.737),0
40.77,-105.623,2020-09-26,1950,POINT (-105.623 40.77),0
40.767,-105.638,2020-09-26,1950,POINT (-105.638 40.767),0
40.765,-105.652,2020-09-26,1950,POINT (-105.652 40.765),0
40.762,-105.666,2020-09-26,1950,POINT (-105.666 40.762),0
40.755,-105.708,2020-09-26,1950,POINT (-105.708 40.755),0
40.777,-105.641,2020-09-26,1950,POINT (-105.641 40.777),0
40.775,-105.655,2020-09-26,1950,POINT (-105.655 40.775),0
41.081,-106.132,2020-09-26,1950,POINT (-106.132 41.081),0
41.112,-106.079,2020-09-26,1950,POINT (-106.079 41.112),0
41.109,-106.093,2020-09-26,1950,POINT (-106.093 41.109),0
41.106,-106.109,2020-09-26,1950,POINT (-106.109 41.106),0
41.104,-106.124,2020-09-26,1950,POINT (-106.124 41.104),0
41.101000000000006,-106.139,2020-09-26,1950,POINT (-106.139 41.10100000000001),0
41.122,-106.082,2020-09-26,1950,POINT (-106.082 41.122),0
41.119,-106.097,2020-09-26,1950,POINT (-106.097 41.119),0
41.11600000000001,-106.112,2020-09-26,1950,POINT (-106.112 41.11600000000001),0
41.114,-106.127,2020-09-26,1950,POINT (-106.127 41.114),0
41.111,-106.142,2020-09-26,1950,POINT (-106.142 41.111),0
41.108,-106.157,2020-09-26,1950,POINT (-106.157 41.108),0
41.137,-106.056,2020-09-26,1950,POINT (-106.056 41.137),0
41.13399999999999,-106.07,2020-09-26,1950,POINT (-106.07 41.13399999999999),0
41.132,-106.085,2020-09-26,1950,POINT (-106.085 41.132),0
41.129,-106.1,2020-09-26,1950,POINT (-106.1 41.129),0
41.12600000000001,-106.115,2020-09-26,1950,POINT (-106.115 41.12600000000001),0
41.12300000000001,-106.13,2020-09-26,1950,POINT (-106.13 41.12300000000001),0
41.121,-106.145,2020-09-26,1950,POINT (-106.145 41.121),0
41.118,-106.161,2020-09-26,1950,POINT (-106.161 41.118),0
41.147,-106.059,2020-09-26,1950,POINT (-106.059 41.147),0
41.144,-106.074,2020-09-26,1950,POINT (-106.074 41.144),0
41.142,-106.088,2020-09-26,1950,POINT (-106.088 41.142),0
41.139,-106.103,2020-09-26,1950,POINT (-106.103 41.139),0
41.136,-106.118,2020-09-26,1950,POINT (-106.118 41.136),0
41.154,-106.077,2020-09-26,1950,POINT (-106.077 41.154),0
41.144,-106.136,2020-09-26,1950,POINT (-106.136 41.144),0
41.14100000000001,-106.151,2020-09-26,1950,POINT (-106.151 41.14100000000001),0
41.153,-106.139,2020-09-26,1950,POINT (-106.139 41.153),0
36.303,-118.682,2020-09-26,2130,POINT (-118.682 36.303),3
37.319,-119.094,2020-09-26,2130,POINT (-119.094 37.319),1
33.529,-109.076,2020-09-27,515,POINT (-109.076 33.529),10
33.928000000000004,-111.774,2020-09-27,515,POINT (-111.774 33.928),5
36.291,-118.705,2020-09-27,515,POINT (-118.705 36.291),3
40.744,-105.59,2020-09-27,515,POINT (-105.59 40.744),0
40.765,-105.668,2020-09-27,515,POINT (-105.668 40.765),0
41.17100000000001,-106.118,2020-09-27,515,POINT (-106.118 41.17100000000001),0
41.169,-106.132,2020-09-27,515,POINT (-106.132 41.169),0
42.684,-111.593,2020-09-27,515,POINT (-111.593 42.684),58
41.168,-106.098,2020-09-27,930,POINT (-106.098 41.168),0
41.165,-106.081,2020-09-27,930,POINT (-106.081 41.165),0
41.154,-106.085,2020-09-27,930,POINT (-106.085 41.154),0
41.165,-106.423,2020-09-27,930,POINT (-106.423 41.165),0
41.089,-106.349,2020-09-27,930,POINT (-106.349 41.089),0
41.08600000000001,-106.331,2020-09-27,930,POINT (-106.331 41.08600000000001),0
41.076,-106.281,2020-09-27,930,POINT (-106.281 41.076),0
41.076,-106.336,2020-09-27,930,POINT (-106.336 41.076),0
36.306,-118.685,2020-09-27,930,POINT (-118.685 36.306),3
36.304,-118.666,2020-09-27,930,POINT (-118.666 36.304),3
36.302,-118.672,2020-09-27,930,POINT (-118.672 36.302),3
36.291,-118.673,2020-09-27,930,POINT (-118.673 36.291),3
31.471,-100.817,2020-09-27,1720,POINT (-100.817 31.471),31
37.812,-89.78399999999998,2020-09-27,1715,POINT (-89.78399999999998 37.812),28
46.234,-118.178,2020-09-27,1850,POINT (-118.178 46.234),156
46.232,-118.165,2020-09-27,1850,POINT (-118.165 46.232),156
46.225,-118.181,2020-09-27,1850,POINT (-118.181 46.225),156
41.08600000000001,-123.492,2020-09-27,1855,POINT (-123.492 41.08600000000001),2
40.372,-123.29,2020-09-27,1855,POINT (-123.29 40.372),2
40.35,-123.189,2020-09-27,1855,POINT (-123.189 40.35),2
40.342,-123.206,2020-09-27,1855,POINT (-123.206 40.342),2
40.327,-123.165,2020-09-27,1855,POINT (-123.165 40.327),2
40.316,-123.151,2020-09-27,1855,POINT (-123.151 40.316),2
40.314,-123.137,2020-09-27,1855,POINT (-123.137 40.314),2
40.313,-123.123,2020-09-27,1855,POINT (-123.123 40.313),2
40.306,-123.154,2020-09-27,1855,POINT (-123.154 40.306),2
40.305,-123.139,2020-09-27,1855,POINT (-123.139 40.305),2
40.297,-123.157,2020-09-27,1855,POINT (-123.157 40.297),2
40.295,-123.142,2020-09-27,1855,POINT (-123.142 40.295),2
40.274,-123.153,2020-09-27,1855,POINT (-123.153 40.274),2
40.098,-123.019,2020-09-27,1855,POINT (-123.019 40.098),2
39.871,-121.271,2020-09-27,1855,POINT (-121.271 39.871),4
40.087,-123.113,2020-09-27,1855,POINT (-123.113 40.087),2
40.082,-123.071,2020-09-27,1855,POINT (-123.071 40.082),2
40.08,-123.057,2020-09-27,1855,POINT (-123.057 40.08),2
40.062,-122.906,2020-09-27,1855,POINT (-122.906 40.062),2
40.077,-123.115,2020-09-27,1855,POINT (-123.115 40.077),2
40.075,-123.101,2020-09-27,1855,POINT (-123.101 40.075),2
40.07,-123.06,2020-09-27,1855,POINT (-123.06 40.07),2
40.052,-122.907,2020-09-27,1855,POINT (-122.907 40.052),2
40.05,-122.893,2020-09-27,1855,POINT (-122.893 40.05),2
39.844,-121.27,2020-09-27,1855,POINT (-121.27 39.844),4
39.796,-120.914,2020-09-27,1855,POINT (-120.914 39.796),4
40.072,-123.16,2020-09-27,1855,POINT (-123.16 40.072),2
40.071,-123.146,2020-09-27,1855,POINT (-123.146 40.071),2
40.044,-122.922,2020-09-27,1855,POINT (-122.922 40.044),2
40.042,-122.908,2020-09-27,1855,POINT (-122.908 40.042),2
40.041,-122.894,2020-09-27,1855,POINT (-122.894 40.041),2
40.066,-123.19,2020-09-27,1855,POINT (-123.19 40.066),2
40.064,-123.175,2020-09-27,1855,POINT (-123.175 40.064),2
40.062,-123.161,2020-09-27,1855,POINT (-123.161 40.062),2
40.061,-123.147,2020-09-27,1855,POINT (-123.147 40.061),2
40.054,-123.092,2020-09-27,1855,POINT (-123.092 40.054),2
40.053,-123.078,2020-09-27,1855,POINT (-123.078 40.053),2
39.82,-121.226,2020-09-27,1855,POINT (-121.226 39.82),4
39.81800000000001,-121.214,2020-09-27,1855,POINT (-121.214 39.81800000000001),4
39.816,-121.202,2020-09-27,1855,POINT (-121.202 39.816),4
40.056,-123.193,2020-09-27,1855,POINT (-123.193 40.056),2
40.054,-123.177,2020-09-27,1855,POINT (-123.177 40.054),2
40.053,-123.163,2020-09-27,1855,POINT (-123.163 40.053),2
40.045,-123.093,2020-09-27,1855,POINT (-123.093 40.045),2
40.046,-123.194,2020-09-27,1855,POINT (-123.194 40.046),2
40.045,-123.179,2020-09-27,1855,POINT (-123.179 40.045),2
40.023,-122.996,2020-09-27,1855,POINT (-122.996 40.023),2
39.8,-121.218,2020-09-27,1855,POINT (-121.218 39.8),4
40.02,-123.229,2020-09-27,1855,POINT (-123.229 40.02),2
40.018,-123.222,2020-09-27,1855,POINT (-123.222 40.018),2
39.94,-123.063,2020-09-27,1855,POINT (-123.063 39.94),2
39.702,-123.046,2020-09-27,1855,POINT (-123.046 39.702),2
38.588,-122.497,2020-09-27,1855,POINT (-122.497 38.588),26
38.586,-122.484,2020-09-27,1855,POINT (-122.484 38.586),26
38.578,-122.499,2020-09-27,1855,POINT (-122.499 38.578),26
37.53,-119.206,2020-09-27,1855,POINT (-119.206 37.53),1
37.523,-119.339,2020-09-27,1855,POINT (-119.339 37.523),1
37.521,-119.327,2020-09-27,1855,POINT (-119.327 37.521),1
37.487,-119.228,2020-09-27,1855,POINT (-119.228 37.487),1
37.334,-119.138,2020-09-27,1855,POINT (-119.138 37.334),1
37.332,-119.126,2020-09-27,1855,POINT (-119.126 37.332),1
37.321,-119.057,2020-09-27,1855,POINT (-119.057 37.321),1
36.304,-118.674,2020-09-27,1855,POINT (-118.674 36.304),3
36.31,-118.769,2020-09-27,1855,POINT (-118.769 36.31),3
36.295,-118.677,2020-09-27,1855,POINT (-118.677 36.295),3
36.286,-118.679,2020-09-27,1855,POINT (-118.679 36.286),3
36.284,-118.666,2020-09-27,1855,POINT (-118.666 36.284),3
30.48,-91.505,2020-09-27,1855,POINT (-91.505 30.48),11
36.47,-90.313,2020-09-27,1855,POINT (-90.313 36.47),6
36.467,-90.327,2020-09-27,1855,POINT (-90.327 36.467),6
36.468,-90.317,2020-09-27,1855,POINT (-90.31699999999999 36.468),6
31.15063,-87.99096999999998,2020-09-26,648,POINT (-87.99096999999998 31.15063),34
31.150340000000003,-87.98576,2020-09-26,648,POINT (-87.98576 31.15034),34
30.48426,-91.18553,2020-09-26,648,POINT (-91.18553 30.48426),11
30.34416,-88.48821,2020-09-26,648,POINT (-88.48821 30.34416),94
30.32692,-91.28209,2020-09-26,648,POINT (-91.28209 30.32692),11
30.325540000000004,-91.24145,2020-09-26,648,POINT (-91.24145 30.32554),11
30.32342,-91.24174,2020-09-26,648,POINT (-91.24173999999999 30.32342),11
29.331570000000006,-82.08548,2020-09-26,648,POINT (-82.08548 29.33157000000001),107
29.33032,-82.08362,2020-09-26,648,POINT (-82.08362 29.33032),107
28.77315,-81.95245,2020-09-26,648,POINT (-81.95245 28.77315),57
