X,Y,geometry,Cluster_id,mean_distance,num_fires,mean_density,valid_cluster
-106.10183144621166,41.01203557764756,POINT (-106.1018314462117 41.01203557764756),0,33.696966267331796,4844,1.3579120426415152,True
-119.25349093247618,37.406693967845655,POINT (-119.2534909324762 37.40669396784565),1,20.557596483790515,1563,1.1772356771578478,True
-123.12675700000005,40.20212474444448,POINT (-123.1267570000001 40.20212474444448),2,32.38268968117804,1032,0.3132585785042036,True
-118.64877598113192,36.31948315094343,POINT (-118.6487759811319 36.31948315094343),3,14.199432480626175,530,0.8367255052087387,True
-121.18518539893621,39.8314474468085,POINT (-121.1851853989362 39.8314474468085),4,10.871931248740333,378,1.017952508303596,True
-111.79044914191415,33.905875412541256,POINT (-111.7904491419142 33.90587541254126),5,4.205683175933658,302,5.4347922620593065,True
-90.19801121076237,36.62352376681614,POINT (-90.19801121076237 36.62352376681614),6,55.0645296630654,264,0.027714635461084065,True
-110.57695519607837,40.613781029411754,POINT (-110.5769551960784 40.61378102941175),7,12.524931615610317,204,0.41393157165046873,True
-101.85692541666664,31.987537500000006,POINT (-101.8569254166666 31.98753750000001),8,41.08136976341023,149,0.02810253832278757,True
-87.37914464285716,41.59061328571429,POINT (-87.37914464285716 41.59061328571429),9,20.371668118713007,140,0.10738013923304104,True
-109.22682009900993,33.57197623762377,POINT (-109.2268200990099 33.57197623762377),10,25.589736801627197,101,0.049095178956071864,True
-91.3470425263158,30.436812842105255,POINT (-91.3470425263158 30.43681284210525),11,40.32459216079613,107,0.02094560562199423,True
-95.12733592592595,29.510183703703706,POINT (-95.12733592592595 29.51018370370371),12,28.354915681498163,66,0.026129814519923984,True
-118.121370375,34.228851375000005,POINT (-118.121370375 34.228851375),13,52.47698830164794,105,0.012136699683908724,True
-83.25077050632912,41.944274683544315,POINT (-83.25077050632912 41.94427468354431),14,50.30683448108387,80,0.010062018642922728,True
-103.61791767123285,31.632903835616442,POINT (-103.6179176712328 31.63290383561644),15,55.635908672775734,84,0.008638096007968563,False
-93.77497873239437,30.00890028169014,POINT (-93.77497873239437 30.00890028169014),16,59.21771610922689,103,0.009349384679766714,False
-102.82834536231883,47.816011304347825,POINT (-102.8283453623188 47.81601130434782),17,32.07048499289395,72,0.022282840559851483,True
-79.75099602941177,43.30981455882353,POINT (-79.75099602941177 43.30981455882353),18,22.393975176213583,72,0.04570031812543058,True
-84.47354044776121,39.23317940298505,POINT (-84.47354044776121 39.23317940298505),19,45.38548363598136,70,0.010817159072365358,True
-100.2486684848485,25.618094848484844,POINT (-100.2486684848485 25.61809484848484),20,32.40051469125997,68,0.020618364174676825,True
-92.08323236363634,19.415095454545458,POINT (-92.08323236363634 19.41509545454546),21,10.592788266387107,55,0.1560239319222339,True
-97.2867331111111,28.86903511111112,POINT (-97.2867331111111 28.86903511111112),22,72.37686150252641,54,0.003281280654557948,False
-80.01962175000001,40.47680425,POINT (-80.01962175000001 40.47680425),23,40.97168962954624,43,0.008153607828731509,False
-96.679745,39.11007315789474,POINT (-96.679745 39.11007315789474),24,22.941953947705663,39,0.023585924905114245,True
-99.27754189189191,20.05325540540541,POINT (-99.27754189189191 20.05325540540541),25,19.90706762690462,37,0.02971914098194464,True
-122.16239594594596,37.94671891891892,POINT (-122.162395945946 37.94671891891892),26,59.63346725114127,48,0.004296454598157339,False
-86.63896361111111,40.01696027777777,POINT (-86.63896361111111 40.01696027777777),27,41.00556271586213,35,0.006625697498973168,False
-90.08429666666666,38.40420972222223,POINT (-90.08429666666666 38.40420972222223),28,45.57093266228332,38,0.0058244761910434045,False
-84.74711939393939,41.40496151515153,POINT (-84.74711939393939 41.40496151515153),29,48.965135675733514,37,0.004912209847178462,False
-73.24090290322582,45.80293516129033,POINT (-73.24090290322582 45.80293516129033),30,30.758773901363455,32,0.010766165474722865,True
-100.2551326666667,31.735435000000003,POINT (-100.2551326666667 31.735435),31,34.13623048808299,31,0.008467977221797306,False
-91.83198642857143,36.31282107142857,POINT (-91.83198642857143 36.31282107142857),32,71.54967593471108,52,0.003233233822192935,False
-70.35725961538462,19.151883846153847,POINT (-70.35725961538462 19.15188384615385),33,45.00945150233601,21,0.0032995974963178428,False
-88.0023896,31.025526000000003,POINT (-88.0023896 31.025526),34,11.177009463964719,25,0.06369977276422092,True
-95.8922508,28.958621200000007,POINT (-95.8922508 28.95862120000001),35,53.01213264124374,24,0.0027183777170548865,False
-97.46663120000001,36.7086184,POINT (-97.46663120000001 36.7086184),36,50.47985775086311,27,0.003372691600567825,False
-101.04316639999998,20.551016000000004,POINT (-101.0431664 20.551016),37,13.996986778104276,25,0.04061813846004081,True
-87.00862708333331,33.08759291666667,POINT (-87.00862708333331 33.08759291666667),38,52.52879876126545,26,0.002999352579827363,False
-96.15752708333336,34.27439291666666,POINT (-96.15752708333336 34.27439291666666),39,25.986554311321957,17,0.008013101374628413,False
-101.43517874999999,26.875765833333332,POINT (-101.43517875 26.87576583333333),40,3.2638132665151702,24,0.7171495771721109,True
-81.57858045454545,41.292750000000005,POINT (-81.57858045454545 41.29275000000001),41,35.29871557325087,23,0.005875693620521827,False
-92.9555540909091,17.915849545454545,POINT (-92.9555540909091 17.91584954545455),42,38.69513152404216,22,0.004676911352492599,False
-97.89789238095238,22.214596190476193,POINT (-97.89789238095238 22.21459619047619),43,16.297835946798866,19,0.0227689408506191,True
-87.64213600000002,38.8789705,POINT (-87.64213600000002 38.8789705),44,31.82205970264614,20,0.006286697084537846,False
