latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.26,-118.087,305.8,1.2,1.1,2020-09-26,0610,T,66,6.0NRT,289.8,9.5,N
36.103,-118.588,306.4,1.2,1.1,2020-09-26,0610,T,68,6.0NRT,285.2,11.9,N
36.102,-118.601,302,1.2,1.1,2020-09-26,0610,T,46,6.0NRT,285.3,8.4,N
36.305,-118.676,312.3,1.2,1.1,2020-09-26,0610,T,80,6.0NRT,285.5,15.7,N
36.304,-118.688,313.2,1.2,1.1,2020-09-26,0610,T,69,6.0NRT,286.4,16,N
36.305,-118.765,313.8,1.2,1.1,2020-09-26,0610,T,68,6.0NRT,288.1,15.5,N
36.314,-118.767,343.6,1.2,1.1,2020-09-26,0610,T,100,6.0NRT,290.4,61.5,N
36.321,-118.792,312.3,1.2,1.1,2020-09-26,0610,T,36,6.0NRT,287.7,13.5,N
36.333,-118.724,307.3,1.2,1.1,2020-09-26,0610,T,17,6.0NRT,287.1,10.6,N
36.325,-118.786,307.5,1.2,1.1,2020-09-26,0610,T,72,6.0NRT,287.3,11.4,N
36.341,-118.737,307.6,1.2,1.1,2020-09-26,0610,T,34,6.0NRT,287.3,10.9,N
36.409,-118.407,310.5,1.2,1.1,2020-09-26,0610,T,80,6.0NRT,286.6,16.5,N
36.407,-118.422,301.8,1.2,1.1,2020-09-26,0610,T,44,6.0NRT,284.1,9.3,N
36.46,-118.409,306.7,1.2,1.1,2020-09-26,0610,T,69,6.0NRT,286.6,12.8,N
36.471,-118.399,302.7,1.2,1.1,2020-09-26,0610,T,35,6.0NRT,286.1,9.5,N
36.47,-118.412,319.9,1.2,1.1,2020-09-26,0610,T,99,6.0NRT,286.3,26.1,N
37.172,-119.172,300.4,1.1,1.1,2020-09-26,0610,T,28,6.0NRT,283.2,8.3,N
37.209,-119.222,312.9,1.1,1.1,2020-09-26,0610,T,86,6.0NRT,286.2,16.7,N
37.208,-119.233,302.8,1.1,1.1,2020-09-26,0610,T,34,6.0NRT,286.6,8.6,N
37.218,-119.224,302.2,1.1,1.1,2020-09-26,0610,T,46,6.0NRT,282.5,8.2,N
37.24,-119.126,301.8,1.1,1.1,2020-09-26,0610,T,45,6.0NRT,283,9.1,N
37.268,-119.209,301.8,1.1,1.1,2020-09-26,0610,T,45,6.0NRT,283.3,8.4,N
37.273,-119.249,301.5,1.1,1.1,2020-09-26,0610,T,42,6.0NRT,284.2,8.4,N
37.265,-119.442,339.6,1.1,1.1,2020-09-26,0610,T,100,6.0NRT,290.7,50.8,N
37.263,-119.454,321.2,1.1,1.1,2020-09-26,0610,T,100,6.0NRT,286.9,22.4,N
37.32,-119.055,309.6,1.2,1.1,2020-09-26,0610,T,78,6.0NRT,284.6,14.6,N
37.319,-119.068,306.5,1.1,1.1,2020-09-26,0610,T,55,6.0NRT,285,11.5,N
37.274,-119.444,320.2,1.1,1.1,2020-09-26,0610,T,64,6.0NRT,289.4,21.7,N
37.328,-119.069,323,1.1,1.1,2020-09-26,0610,T,53,6.0NRT,287.8,26.2,N
37.327,-119.083,335.7,1.1,1.1,2020-09-26,0610,T,85,6.0NRT,289.9,45.3,N
37.325,-119.096,323.1,1.1,1.1,2020-09-26,0610,T,60,6.0NRT,287.6,26.2,N
37.324,-119.109,327,1.1,1.1,2020-09-26,0610,T,97,6.0NRT,287.6,32.2,N
37.283,-119.446,335.9,1.1,1.1,2020-09-26,0610,T,100,6.0NRT,291.5,45.1,N
37.336,-119.084,321.4,1.1,1.1,2020-09-26,0610,T,38,6.0NRT,287,23.5,N
37.293,-119.448,314.7,1.1,1.1,2020-09-26,0610,T,79,6.0NRT,287.2,16.7,N
37.335,-119.176,312.4,1.1,1.1,2020-09-26,0610,T,56,6.0NRT,284.9,15.8,N
37.345,-119.177,328.1,1.1,1.1,2020-09-26,0610,T,98,6.0NRT,287.3,33.2,N
37.343,-119.19,325.4,1.1,1.1,2020-09-26,0610,T,70,6.0NRT,287.9,29.1,N
37.342,-119.202,310.5,1.1,1.1,2020-09-26,0610,T,29,6.0NRT,285.5,13.4,N
37.362,-119.114,300.7,1.1,1.1,2020-09-26,0610,T,4,6.0NRT,283.9,6.8,N
37.355,-119.167,317.8,1.1,1.1,2020-09-26,0610,T,68,6.0NRT,285.8,20.1,N
37.35,-119.215,305,1.1,1.1,2020-09-26,0610,T,63,6.0NRT,284.8,10.7,N
37.365,-119.168,319.1,1.1,1.1,2020-09-26,0610,T,98,6.0NRT,286.4,22.4,N
37.422,-119.455,301.4,1.1,1.1,2020-09-26,0610,T,9,6.0NRT,284.6,6.9,N
37.439,-119.439,301.2,1.1,1.1,2020-09-26,0610,T,35,6.0NRT,283.8,7.7,N
37.437,-119.451,300.1,1.1,1.1,2020-09-26,0610,T,7,6.0NRT,284.6,6.9,N
37.508,-119.337,303.3,1.1,1.1,2020-09-26,0610,T,20,6.0NRT,285.1,8.1,N
37.519,-119.327,320.6,1.1,1.1,2020-09-26,0610,T,100,6.0NRT,287.4,23.7,N
37.518,-119.34,315,1.1,1.1,2020-09-26,0610,T,90,6.0NRT,285.4,17.7,N
37.54,-119.318,313.8,1.1,1.1,2020-09-26,0610,T,37,6.0NRT,284.9,16.5,N
37.545,-119.312,304.9,1.1,1.1,2020-09-26,0610,T,21,6.0NRT,284.2,9.9,N
37.544,-119.325,303.7,1.1,1.1,2020-09-26,0610,T,37,6.0NRT,283.1,9.4,N
37.59,-119.256,302.5,1.1,1.1,2020-09-26,0610,T,45,6.0NRT,282,8.7,N
37.589,-119.269,307.9,1.1,1.1,2020-09-26,0610,T,45,6.0NRT,282.2,12.1,N
37.853,-119.597,304.4,1.1,1.1,2020-09-26,0610,T,60,6.0NRT,283.8,10,N
39.845,-121.269,300.9,1,1,2020-09-26,0610,T,24,6.0NRT,285.8,6,N
39.872,-121.269,309.8,1,1,2020-09-26,0610,T,51,6.0NRT,287.2,11,N
39.882,-121.258,307.6,1,1,2020-09-26,0610,T,25,6.0NRT,286.3,9.5,N
39.881,-121.27,318.5,1,1,2020-09-26,0610,T,97,6.0NRT,288,18.4,N
39.627,-123.105,305.7,1,1,2020-09-26,0610,T,65,6.0NRT,275.6,10.1,N
40.046,-122.887,336.1,1,1,2020-09-26,0610,T,100,6.0NRT,275.5,39.3,N
40.045,-122.899,372.6,1,1,2020-09-26,0610,T,100,6.0NRT,281.1,126.8,N
40.043,-122.91,325.4,1,1,2020-09-26,0610,T,100,6.0NRT,277.2,25.1,N
40.055,-122.889,312.6,1,1,2020-09-26,0610,T,49,6.0NRT,273.6,13.3,N
40.054,-122.901,345.1,1,1,2020-09-26,0610,T,100,6.0NRT,275.8,53.2,N
40.052,-122.912,328.6,1,1,2020-09-26,0610,T,92,6.0NRT,275.7,27.7,N
33.013,-79.881,309.7,1,1,2020-09-26,0710,A,78,6.0NRT,292.4,9.1,N
41.219,-106.408,321.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,280.8,40.4,N
41.217,-106.39,314.7,1.5,1.2,2020-09-26,0845,A,81,6.0NRT,281.2,29,N
41.164,-106.21,401.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,294.5,462.3,N
41.162,-106.193,420.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,302.6,695.4,N
41.16,-106.175,380.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,288.9,271,N
41.159,-106.264,338.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,286.7,69.8,N
41.157,-106.247,359.7,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,290.6,147.6,N
41.155,-106.229,328.7,1.5,1.2,2020-09-26,0845,A,47,6.0NRT,285.6,43.2,N
41.153,-106.212,500.7,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,339.5,2837.8,N
41.152,-106.195,500.8,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,400.1,2828.5,N
41.15,-106.177,438.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,314.7,996.9,N
41.148,-106.16,354.7,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,291.1,122.6,N
41.146,-106.142,400.8,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,305.2,444.3,N
41.145,-106.125,409,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,314.9,535.5,N
41.143,-106.109,382.5,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,307.6,282.8,N
41.141,-106.092,395.7,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,303.4,393.7,N
41.14,-106.076,323.4,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,285.7,39.6,N
41.148,-106.266,332,1.5,1.2,2020-09-26,0845,A,80,6.0NRT,285.1,50.3,N
41.146,-106.249,362.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,292,159.3,N
41.144,-106.231,346.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,290.5,92.7,N
41.143,-106.214,342.7,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,289.5,78.5,N
41.141,-106.196,345.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,289.5,88.4,N
41.139,-106.179,339.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,290.3,68.8,N
41.137,-106.162,342.5,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,292.6,78.6,N
41.136,-106.144,366.5,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,304.8,179.7,N
41.134,-106.127,373.3,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,308.6,219.8,N
41.132,-106.111,373,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,297.7,217.2,N
41.131,-106.094,355.4,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,289.7,130,N
41.13,-106.199,325.1,1.5,1.2,2020-09-26,0845,A,46,6.0NRT,288.4,37,N
41.129,-106.181,344.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,291.9,87.3,N
41.127,-106.164,382.8,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,300.3,285.9,N
41.125,-106.146,399.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,304.2,431.8,N
41.123,-106.13,404.3,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,301.7,482.8,N
41.122,-106.113,355.7,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,288.8,129.6,N
